system:index,VV,elevation,flood,month,slope,year,.geo
1_1_1_1_1_1_1_1_1_1_1_2_0,-7.263228080990443,3,0,1,1.3225754499435425,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_1,-6.181550054516821,3,0,1,1.3216016292572021,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_2,-8.386384863223102,2,0,1,2.096115827560425,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_3,-3.9519975944170596,2,0,1,1.3232896327972412,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_4,-9.877078464286791,3,0,1,1.3228018283843994,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_5,-14.093338404533728,5,0,1,3.822662830352783,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_6,-9.799479950839737,3,0,1,2.0799074172973633,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_7,-15.386424691339537,0,0,1,2.8206961154937744,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_8,-8.168373340217517,-2,0,1,2.0972230434417725,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_9,-9.641162619294057,0,0,1,0.9274099469184875,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_10,-9.756770780346638,3,0,1,0.9432452321052551,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_11,-8.259162907339693,3,0,1,2.9696059226989746,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_2_12,-9.184311827482766,8,0,1,2.9358766078948975,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
